id,stage,before_ms,after_ms,speedup
"opportunities-review","jsx","0.24840391249999955","0.1470125602836883","1.6896781609724885"
"mutual-nda","jsx","0.10979457526881589","0.06374921874999977","1.7222889538362585"
"partner-agreement","jsx","0.2965312500000035","0.20790501960784338","1.4262823021749527"
"support-contract","jsx","0.46767296511628176","0.3385208360655717","1.38151899467037"
"synthetic-ascii-102400","jsx","1.071748921052619","0.9871874999999992","1.0856589260425398"
"synthetic-ascii-1024","jsx","0.014640111071682043","0.013478718371466882","1.0861649207445208"
"opportunities","jsx","0.20753165999999965","0.12411193167701742","1.6721330269846213"
"synthetic-unicode-1024","jsx","0.01813313802083351","0.014738747233748234","1.2303038876542318"
"synthetic-unicode-10240","jsx","0.1318751329113932","0.10380029545454231","1.270469725870345"
"synthetic-unicode-102400","jsx","1.2728151250000224","0.9899523809523911","1.2857336872865552"
"synthetic-ascii-10240","jsx","0.11548160372339748","0.10186891584158494","1.1336294567322327"
"master-services","jsx","0.5064012857142839","0.31818942307692255","1.591508859148536"
"opportunities-review","js","0.8471858400000019","0.7820320384615382","1.0833134684182992"
"mutual-nda","js","0.20871875499999987","0.15985274621211967","1.305693896075057"
"partner-agreement","js","0.7362067962962842","0.6583769531249999","1.1182147139292518"
"support-contract","js","1.2153645833333384","1.0559583500000032","1.1509588264852821"
"synthetic-ascii-102400","js","4.278283399999964","4.174649999999929","1.0248244523493075"
"synthetic-ascii-1024","js","0.053750876315791035","0.0525520837765958","1.0228115129419306"
"opportunities","js","0.6807090333333388","0.5775964285714378","1.1785201563952328"
"synthetic-unicode-1024","js","0.0649405525477699","0.06182544894894758","1.0503854586061254"
"synthetic-unicode-10240","js","0.5004661499999883","0.4816070813953639","1.0391586198234126"
"synthetic-unicode-102400","js","4.947729199999959","4.619720799999959","1.0710017800209923"
"synthetic-ascii-10240","js","0.4305332446808492","0.4155599999999867","1.0360314868631797"
"master-services","js","1.1262187500000334","0.9302130454545414","1.2107105522796826"
