file	struct	field	zig_type	class	rust_type	evidence
src/aio/posix_event_loop.zig	FilePoll	next_to_free	?*FilePoll	INTRUSIVE	*mut FilePoll	src/aio/posix_event_loop.zig:607 — tail.next_to_free = poll (deferred-free list link)
src/aio/posix_event_loop.zig	FilePoll.Store	pending_free_head	?*FilePoll	INTRUSIVE	*mut FilePoll	src/aio/posix_event_loop.zig:611 — pending_free_head = poll; freed via hive.put() :590
src/aio/posix_event_loop.zig	FilePoll.Store	pending_free_tail	?*FilePoll	INTRUSIVE	*mut FilePoll	src/aio/posix_event_loop.zig:616 — pending_free_tail = poll (intrusive list tail)
src/aio/windows_event_loop.zig	FilePoll	next_to_free	?*FilePoll	INTRUSIVE	*mut FilePoll	windows_event_loop.zig:342 — tail.next_to_free = poll; deferred-free intrusive link
src/aio/windows_event_loop.zig	FilePoll.Store	pending_free_head	?*FilePoll	INTRUSIVE	*mut FilePoll	windows_event_loop.zig:321-325 — processDeferredFrees walks list, hive.put() frees
src/aio/windows_event_loop.zig	FilePoll.Store	pending_free_tail	?*FilePoll	INTRUSIVE	*mut FilePoll	windows_event_loop.zig:351 — this.pending_free_tail = poll; intrusive list tail
src/aio/windows_event_loop.zig	Waker	loop	*bun.uws.WindowsLoop	STATIC	&'static WindowsLoop	windows_event_loop.zig:365 — .loop = bun.uws.WindowsLoop.get() singleton
src/bake/DevServer.zig	Options	vm	*VirtualMachine	JSC_BORROW	&'a VirtualMachine	DevServer.zig:21 — passed by caller; consumed at :315 .vm = options.vm
src/bake/DevServer.zig	DevServer	vm	*VirtualMachine	JSC_BORROW	&'a VirtualMachine	DevServer.zig:315 .vm = options.vm; deinit:594 no-op
src/bake/DevServer.zig	DevServer	bun_watcher	*bun.Watcher	OWNED	Box<Watcher>	DevServer.zig:386 Watcher.init(); :627 bun_watcher.deinit(true)
src/bake/DevServer.zig	DevServer.current_bundle (anon)	bv2	*BundleV2	OWNED	Box<BundleV2>	DevServer.zig:1902 BundleV2.init(); :2249 bv2.deinitWithoutFreeingArena()
src/bake/DevServer.zig	DevServer.next_bundle (anon)	reload_event	?*HotReloadEvent	BORROW_FIELD	Option<&'self HotReloadEvent>	HotReloadEvent.zig:186 = first (ptr into dev.watcher_atomics.events[])
src/bake/DevServer.zig	RequestEnsureRouteBundledCtx	dev	*DevServer	BORROW_PARAM	&'a DevServer	DevServer.zig:1026 — stack ctx, dev from handler param
src/bake/DevServer.zig	ReqOrSaved	req	*Request	FFI	*mut uws::Request	DevServer.zig:1209 — uws C request ptr from handler callback
src/bake/DevServer.zig	DeferredRequest	dev	*DevServer	BACKREF	*const DevServer	DevServer.zig:1238 .dev = dev; owned by dev.deferred_request_pool
src/bake/DevServer.zig	DeferredRequest.PromiseResponse	global	*bun.jsc.JSGlobalObject	JSC_BORROW	&JSGlobalObject	DevServer.zig:1783 — JSC global, never owned
src/bake/DevServer.zig	HotUpdateContext	gts	*GraphTraceState	BORROW_PARAM	&'a mut GraphTraceState	DevServer.zig:2482 ctx.gts = &gts (stack local in finalizeBundle)
src/bake/DevServer.zig	HTMLRouter	fallback	?*HTMLBundle.HTMLBundleRoute	BORROW_PARAM	Option<&'a HTMLBundleRoute>	DevServer.zig:4363 doc: lifetime tied to Bun.serve; deinit:4393 ignores
src/bake/DevServer.zig	UnrefSourceMapRequest	dev	*DevServer	BORROW_PARAM	&'a DevServer	DevServer.zig:4439 bun.new(.{ .dev = dev }) from handler param
src/bake/DevServer.zig	PromiseEnsureRouteBundledCtx	dev	*DevServer	BORROW_PARAM	&'a DevServer	DevServer.zig:4606 .dev = dev (stack ctx)
src/bake/DevServer.zig	PromiseEnsureRouteBundledCtx	global	*jsc.JSGlobalObject	JSC_BORROW	&JSGlobalObject	DevServer.zig:4607 .global = global (JSC global)
src/bake/DevServer.zig	PromiseEnsureRouteBundledCtx	p	?*jsc.JSPromise	BORROW_FIELD	Option<&'self JSPromise>	DevServer.zig:4515 this.p = strong.get() (from sibling self.promise)
src/bake/DevServer/HotReloadEvent.zig	HotReloadEvent	owner	*DevServer	BACKREF	*const DevServer	DevServer.zig:393 dev.watcher_atomics=.init(dev); WatcherAtomics.zig:15 events:[3]HotReloadEvent
src/bake/DevServer/RouteBundle.zig	RouteBundle	client_bundle	?*StaticRoute	SHARED	Option<Arc<StaticRoute>>	RouteBundle.zig:98 — deinit calls blob.deref(); set via initFromAnyBlob
src/bake/DevServer/RouteBundle.zig	RouteBundle.HTML	cached_response	?*StaticRoute	SHARED	Option<Arc<StaticRoute>>	RouteBundle.zig:110 — deinit calls cached_response.deref()
src/bake/DevServer/RouteBundle.zig	RouteBundle.UnresolvedIndex	html	*HTMLBundle.HTMLBundleRoute	BORROW_PARAM	&'a HTMLBundleRoute	DevServer.zig:3256 — fn param union; .initRef(html) takes own ref when stored
src/bake/DevServer/SourceMapStore.zig	PutOrIncrementRefCount	uninitialized	*Entry	BORROW_PARAM	&'a mut Entry	SourceMapStore.zig:366 — returns gop.value_ptr into store.entries hashmap
src/bake/DevServer/SourceMapStore.zig	PutOrIncrementRefCount	shared	*Entry	BORROW_PARAM	&'a mut Entry	SourceMapStore.zig:370 — returns gop.value_ptr into store.entries hashmap
src/bake/DevServer/SourceMapStore.zig	GetResult	entry_files	*const bun.MultiArrayList(PackedMap.Shared)	BORROW_PARAM	&'a MultiArrayList<PackedMapShared>	SourceMapStore.zig:542 — &entry.files; deinit:511 comments 'borrowed'
src/bake/FrameworkRouter.zig	InsertionContext	opaque_ctx	*anyopaque	BORROW_PARAM	&'a mut dyn InsertionHandler	FrameworkRouter.zig:976 — .opaque_ctx = ctx (param of wrap); no deinit
src/bake/FrameworkRouter.zig	InsertionContext	vtable	*const VTable	STATIC	&'static VTable	FrameworkRouter.zig:977 — .vtable = comptime &.{...} (static literal)
