# emoji-variation-sequences.txt
# Date: 2024-05-01, 21:25:24 GMT
# © 2024 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Emoji Variation Sequences for UTS #51
# Used with Emoji Version 16.0 and subsequent minor revisions (if any)
#
# For documentation and usage, see https://www.unicode.org/reports/tr51
#
0023 FE0E  ; text style;  # (1.1) NUMBER SIGN
0023 FE0F  ; emoji style; # (1.1) NUMBER SIGN
002A FE0E  ; text style;  # (1.1) ASTERISK
002A FE0F  ; emoji style; # (1.1) ASTERISK
0030 FE0E  ; text style;  # (1.1) DIGIT ZERO
0030 FE0F  ; emoji style; # (1.1) DIGIT ZERO
0031 FE0E  ; text style;  # (1.1) DIGIT ONE
0031 FE0F  ; emoji style; # (1.1) DIGIT ONE
0032 FE0E  ; text style;  # (1.1) DIGIT TWO
0032 FE0F  ; emoji style; # (1.1) DIGIT TWO
0033 FE0E  ; text style;  # (1.1) DIGIT THREE
0033 FE0F  ; emoji style; # (1.1) DIGIT THREE
0034 FE0E  ; text style;  # (1.1) DIGIT FOUR
0034 FE0F  ; emoji style; # (1.1) DIGIT FOUR
0035 FE0E  ; text style;  # (1.1) DIGIT FIVE
0035 FE0F  ; emoji style; # (1.1) DIGIT FIVE
0036 FE0E  ; text style;  # (1.1) DIGIT SIX
0036 FE0F  ; emoji style; # (1.1) DIGIT SIX
0037 FE0E  ; text style;  # (1.1) DIGIT SEVEN
0037 FE0F  ; emoji style; # (1.1) DIGIT SEVEN
0038 FE0E  ; text style;  # (1.1) DIGIT EIGHT
0038 FE0F  ; emoji style; # (1.1) DIGIT EIGHT
0039 FE0E  ; text style;  # (1.1) DIGIT NINE
0039 FE0F  ; emoji style; # (1.1) DIGIT NINE
00A9 FE0E  ; text style;  # (1.1) COPYRIGHT SIGN
00A9 FE0F  ; emoji style; # (1.1) COPYRIGHT SIGN
00AE FE0E  ; text style;  # (1.1) REGISTERED SIGN
00AE FE0F  ; emoji style; # (1.1) REGISTERED SIGN
203C FE0E  ; text style;  # (1.1) DOUBLE EXCLAMATION MARK
203C FE0F  ; emoji style; # (1.1) DOUBLE EXCLAMATION MARK
2049 FE0E  ; text style;  # (3.0) EXCLAMATION QUESTION MARK
2049 FE0F  ; emoji style; # (3.0) EXCLAMATION QUESTION MARK
2122 FE0E  ; text style;  # (1.1) TRADE MARK SIGN
2122 FE0F  ; emoji style; # (1.1) TRADE MARK SIGN
2139 FE0E  ; text style;  # (3.0) INFORMATION SOURCE
2139 FE0F  ; emoji style; # (3.0) INFORMATION SOURCE
2194 FE0E  ; text style;  # (1.1) LEFT RIGHT ARROW
2194 FE0F  ; emoji style; # (1.1) LEFT RIGHT ARROW
2195 FE0E  ; text style;  # (1.1) UP DOWN ARROW
2195 FE0F  ; emoji style; # (1.1) UP DOWN ARROW
2196 FE0E  ; text style;  # (1.1) NORTH WEST ARROW
2196 FE0F  ; emoji style; # (1.1) NORTH WEST ARROW
2197 FE0E  ; text style;  # (1.1) NORTH EAST ARROW
2197 FE0F  ; emoji style; # (1.1) NORTH EAST ARROW
2198 FE0E  ; text style;  # (1.1) SOUTH EAST ARROW
2198 FE0F  ; emoji style; # (1.1) SOUTH EAST ARROW
2199 FE0E  ; text style;  # (1.1) SOUTH WEST ARROW
2199 FE0F  ; emoji style; # (1.1) SOUTH WEST ARROW
21A9 FE0E  ; text style;  # (1.1) LEFTWARDS ARROW WITH HOOK
21A9 FE0F  ; emoji style; # (1.1) LEFTWARDS ARROW WITH HOOK
21AA FE0E  ; text style;  # (1.1) RIGHTWARDS ARROW WITH HOOK
21AA FE0F  ; emoji style; # (1.1) RIGHTWARDS ARROW WITH HOOK
231A FE0E  ; text style;  # (1.1) WATCH
231A FE0F  ; emoji style; # (1.1) WATCH
231B FE0E  ; text style;  # (1.1) HOURGLASS
231B FE0F  ; emoji style; # (1.1) HOURGLASS
2328 FE0E  ; text style;  # (1.1) KEYBOARD
2328 FE0F  ; emoji style; # (1.1) KEYBOARD
23CF FE0E  ; text style;  # (4.0) EJECT SYMBOL
23CF FE0F  ; emoji style; # (4.0) EJECT SYMBOL
23E9 FE0E  ; text style;  # (6.0) BLACK RIGHT-POINTING DOUBLE TRIANGLE
23E9 FE0F  ; emoji style; # (6.0) BLACK RIGHT-POINTING DOUBLE TRIANGLE
23EA FE0E  ; text style;  # (6.0) BLACK LEFT-POINTING DOUBLE TRIANGLE
23EA FE0F  ; emoji style; # (6.0) BLACK LEFT-POINTING DOUBLE TRIANGLE
23EB FE0E  ; text style;  # (6.0) BLACK UP-POINTING DOUBLE TRIANGLE
23EB FE0F  ; emoji style; # (6.0) BLACK UP-POINTING DOUBLE TRIANGLE
23EC FE0E  ; text style;  # (6.0) BLACK DOWN-POINTING DOUBLE TRIANGLE
23EC FE0F  ; emoji style; # (6.0) BLACK DOWN-POINTING DOUBLE TRIANGLE
23ED FE0E  ; text style;  # (6.0) BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
23ED FE0F  ; emoji style; # (6.0) BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
23EE FE0E  ; text style;  # (6.0) BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
23EE FE0F  ; emoji style; # (6.0) BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
23EF FE0E  ; text style;  # (6.0) BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR
23EF FE0F  ; emoji style; # (6.0) BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR
23F0 FE0E  ; text style;  # (6.0) ALARM CLOCK
23F0 FE0F  ; emoji style; # (6.0) ALARM CLOCK
23F1 FE0E  ; text style;  # (6.0) STOPWATCH
23F1 FE0F  ; emoji style; # (6.0) STOPWATCH
23F2 FE0E  ; text style;  # (6.0) TIMER CLOCK
23F2 FE0F  ; emoji style; # (6.0) TIMER CLOCK
23F3 FE0E  ; text style;  # (6.0) HOURGLASS WITH FLOWING SAND
23F3 FE0F  ; emoji style; # (6.0) HOURGLASS WITH FLOWING SAND
23F8 FE0E  ; text style;  # (7.0) DOUBLE VERTICAL BAR
23F8 FE0F  ; emoji style; # (7.0) DOUBLE VERTICAL BAR
23F9 FE0E  ; text style;  # (7.0) BLACK SQUARE FOR STOP
23F9 FE0F  ; emoji style; # (7.0) BLACK SQUARE FOR STOP
23FA FE0E  ; text style;  # (7.0) BLACK CIRCLE FOR RECORD
23FA FE0F  ; emoji style; # (7.0) BLACK CIRCLE FOR RECORD
24C2 FE0E  ; text style;  # (1.1) CIRCLED LATIN CAPITAL LETTER M
24C2 FE0F  ; emoji style; # (1.1) CIRCLED LATIN CAPITAL LETTER M
25AA FE0E  ; text style;  # (1.1) BLACK SMALL SQUARE
25AA FE0F  ; emoji style; # (1.1) BLACK SMALL SQUARE
25AB FE0E  ; text style;  # (1.1) WHITE SMALL SQUARE
25AB FE0F  ; emoji style; # (1.1) WHITE SMALL SQUARE
25B6 FE0E  ; text style;  # (1.1) BLACK RIGHT-POINTING TRIANGLE
25B6 FE0F  ; emoji style; # (1.1) BLACK RIGHT-POINTING TRIANGLE
25C0 FE0E  ; text style;  # (1.1) BLACK LEFT-POINTING TRIANGLE
25C0 FE0F  ; emoji style; # (1.1) BLACK LEFT-POINTING TRIANGLE
25FB FE0E  ; text style;  # (3.2) WHITE MEDIUM SQUARE
25FB FE0F  ; emoji style; # (3.2) WHITE MEDIUM SQUARE
25FC FE0E  ; text style;  # (3.2) BLACK MEDIUM SQUARE
25FC FE0F  ; emoji style; # (3.2) BLACK MEDIUM SQUARE
25FD FE0E  ; text style;  # (3.2) WHITE MEDIUM SMALL SQUARE
25FD FE0F  ; emoji style; # (3.2) WHITE MEDIUM SMALL SQUARE
25FE FE0E  ; text style;  # (3.2) BLACK MEDIUM SMALL SQUARE
25FE FE0F  ; emoji style; # (3.2) BLACK MEDIUM SMALL SQUARE
2600 FE0E  ; text style;  # (1.1) BLACK SUN WITH RAYS
2600 FE0F  ; emoji style; # (1.1) BLACK SUN WITH RAYS
2601 FE0E  ; text style;  # (1.1) CLOUD
2601 FE0F  ; emoji style; # (1.1) CLOUD
2602 FE0E  ; text style;  # (1.1) UMBRELLA
2602 FE0F  ; emoji style; # (1.1) UMBRELLA
2603 FE0E  ; text style;  # (1.1) SNOWMAN
2603 FE0F  ; emoji style; # (1.1) SNOWMAN
2604 FE0E  ; text style;  # (1.1) COMET
2604 FE0F  ; emoji style; # (1.1) COMET
260E FE0E  ; text style;  # (1.1) BLACK TELEPHONE
260E FE0F  ; emoji style; # (1.1) BLACK TELEPHONE
2611 FE0E  ; text style;  # (1.1) BALLOT BOX WITH CHECK
2611 FE0F  ; emoji style; # (1.1) BALLOT BOX WITH CHECK
2614 FE0E  ; text style;  # (4.0) UMBRELLA WITH RAIN DROPS
2614 FE0F  ; emoji style; # (4.0) UMBRELLA WITH RAIN DROPS
2615 FE0E  ; text style;  # (4.0) HOT BEVERAGE
2615 FE0F  ; emoji style; # (4.0) HOT BEVERAGE
2618 FE0E  ; text style;  # (4.1) SHAMROCK
2618 FE0F  ; emoji style; # (4.1) SHAMROCK
261D FE0E  ; text style;  # (1.1) WHITE UP POINTING INDEX
261D FE0F  ; emoji style; # (1.1) WHITE UP POINTING INDEX
2620 FE0E  ; text style;  # (1.1) SKULL AND CROSSBONES
2620 FE0F  ; emoji style; # (1.1) SKULL AND CROSSBONES
2622 FE0E  ; text style;  # (1.1) RADIOACTIVE SIGN
2622 FE0F  ; emoji style; # (1.1) RADIOACTIVE SIGN
2623 FE0E  ; text style;  # (1.1) BIOHAZARD SIGN
2623 FE0F  ; emoji style; # (1.1) BIOHAZARD SIGN
2626 FE0E  ; text style;  # (1.1) ORTHODOX CROSS
2626 FE0F  ; emoji style; # (1.1) ORTHODOX CROSS
262A FE0E  ; text style;  # (1.1) STAR AND CRESCENT
262A FE0F  ; emoji style; # (1.1) STAR AND CRESCENT
262E FE0E  ; text style;  # (1.1) PEACE SYMBOL
262E FE0F  ; emoji style; # (1.1) PEACE SYMBOL
262F FE0E  ; text style;  # (1.1) YIN YANG
262F FE0F  ; emoji style; # (1.1) YIN YANG
2638 FE0E  ; text style;  # (1.1) WHEEL OF DHARMA
2638 FE0F  ; emoji style; # (1.1) WHEEL OF DHARMA
2639 FE0E  ; text style;  # (1.1) WHITE FROWNING FACE
2639 FE0F  ; emoji style; # (1.1) WHITE FROWNING FACE
263A FE0E  ; text style;  # (1.1) WHITE SMILING FACE
263A FE0F  ; emoji style; # (1.1) WHITE SMILING FACE
2640 FE0E  ; text style;  # (1.1) FEMALE SIGN
