# emoji-zwj-sequences.txt
# Date: 2025-01-08, 04:57:12 GMT
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Emoji ZWJ Sequences for UTS #51
# Version: 17.0
#
# For documentation and usage, see https://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field :RGI_Emoji_ZWJ_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# For the purpose of regular expressions, the above type field defines the name of
# a binary property of strings. The short name of the property is the same as the long name.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# RGI_Emoji_ZWJ_Sequence: Family

1F468 200D 2764 FE0F 200D 1F468             ; RGI_Emoji_ZWJ_Sequence  ; couple with heart: man, man                                    # E2.0   [1] (👨‍❤️‍👨)
1F468 200D 2764 FE0F 200D 1F48B 200D 1F468  ; RGI_Emoji_ZWJ_Sequence  ; kiss: man, man                                                 # E2.0   [1] (👨‍❤️‍💋‍👨)
1F468 200D 1F466                            ; RGI_Emoji_ZWJ_Sequence  ; family: man, boy                                               # E4.0   [1] (👨‍👦)
1F468 200D 1F466 200D 1F466                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, boy, boy                                          # E4.0   [1] (👨‍👦‍👦)
1F468 200D 1F467                            ; RGI_Emoji_ZWJ_Sequence  ; family: man, girl                                              # E4.0   [1] (👨‍👧)
1F468 200D 1F467 200D 1F466                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, girl, boy                                         # E4.0   [1] (👨‍👧‍👦)
1F468 200D 1F467 200D 1F467                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, girl, girl                                        # E4.0   [1] (👨‍👧‍👧)
1F468 200D 1F468 200D 1F466                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, man, boy                                          # E2.0   [1] (👨‍👨‍👦)
1F468 200D 1F468 200D 1F466 200D 1F466      ; RGI_Emoji_ZWJ_Sequence  ; family: man, man, boy, boy                                     # E2.0   [1] (👨‍👨‍👦‍👦)
1F468 200D 1F468 200D 1F467                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, man, girl                                         # E2.0   [1] (👨‍👨‍👧)
1F468 200D 1F468 200D 1F467 200D 1F466      ; RGI_Emoji_ZWJ_Sequence  ; family: man, man, girl, boy                                    # E2.0   [1] (👨‍👨‍👧‍👦)
1F468 200D 1F468 200D 1F467 200D 1F467      ; RGI_Emoji_ZWJ_Sequence  ; family: man, man, girl, girl                                   # E2.0   [1] (👨‍👨‍👧‍👧)
1F468 200D 1F469 200D 1F466                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, woman, boy                                        # E2.0   [1] (👨‍👩‍👦)
1F468 200D 1F469 200D 1F466 200D 1F466      ; RGI_Emoji_ZWJ_Sequence  ; family: man, woman, boy, boy                                   # E2.0   [1] (👨‍👩‍👦‍👦)
1F468 200D 1F469 200D 1F467                 ; RGI_Emoji_ZWJ_Sequence  ; family: man, woman, girl                                       # E2.0   [1] (👨‍👩‍👧)
1F468 200D 1F469 200D 1F467 200D 1F466      ; RGI_Emoji_ZWJ_Sequence  ; family: man, woman, girl, boy                                  # E2.0   [1] (👨‍👩‍👧‍👦)
